nama,masuk,keluar,duration,coba
deleteAllJsons,23:55:27,23:55:27,0.106,1
deleteAllJsons,0:8:34,0:8:34,0.078,2
deleteAllJsons,0:8:42,0:8:42,0.073,3
deleteAllJsons,0:8:49,0:8:49,0.071,4
deleteAllJsons,0:9:3,0:9:3,0.151,6
deleteAllJsons,0:8:56,0:8:56,0.109,5
deleteAllJsons,0:9:11,0:9:11,0.070,7
deleteAllJsons,0:9:24,0:9:24,0.128,9
deleteAllJsons,0:9:53,0:9:53,0.109,11
deleteAllJsons,0:10:3,0:10:3,0.072,12
deleteAllJsons,0:9:18,0:9:18,0.088,8
deleteAllJsons,0:9:46,0:9:46,0.078,10
deleteAllJsons,0:10:10,0:10:10,0.075,13
deleteAllJsons,0:10:33,0:10:33,0.086,16
deleteAllJsons,0:10:26,0:10:26,0.072,15
deleteAllJsons,0:10:18,0:10:18,0.068,14
deleteAllJsons,0:10:40,0:10:40,0.071,17
deleteAllJsons,0:11:5,0:11:5,0.067,19
deleteAllJsons,0:11:12,0:11:12,0.073,20
deleteAllJsons,0:11:19,0:11:19,0.084,21
deleteAllJsons,0:11:27,0:11:27,0.091,22
deleteAllJsons,0:10:48,0:10:48,0.080,18
deleteAllJsons,0:12:3,0:12:3,0.067,25
deleteAllJsons,0:11:56,0:11:56,0.071,24
deleteAllJsons,0:12:10,0:12:10,0.089,26
deleteAllJsons,0:12:17,0:12:17,0.116,27
deleteAllJsons,0:11:34,0:11:34,0.079,23
deleteAllJsons,0:12:31,0:12:31,0.069,29
deleteAllJsons,0:12:24,0:12:24,0.066,28
deleteAllPostgresqls,0:5:58,0:5:58,5.089,1
deleteAllPostgresqls,0:8:36,0:8:36,42.243,2
deleteAllPostgresqls,0:8:51,0:8:51,3.698,4
deleteAllPostgresqls,0:8:43,0:8:43,3.142,3
deleteAllPostgresqls,0:8:58,0:8:58,3.487,5
deleteAllJsons,0:12:50,0:12:50,0.092,30
deleteAllPostgresqls,0:9:5,0:9:5,4.374,6
deleteAllPostgresqls,0:9:26,0:9:26,2.64,9
deleteAllPostgresqls,0:9:19,0:9:19,2.764,8
deleteAllPostgresqls,0:9:48,0:9:48,40.079,10
deleteAllPostgresqls,0:9:12,0:9:12,2.967,7
deleteAllPostgresqls,0:9:55,0:9:55,2.933,11
deleteAllPostgresqls,0:10:12,0:10:12,2.903,13
deleteAllPostgresqls,0:10:4,0:10:4,4.228,12
deleteAllPostgresqls,0:10:19,0:10:19,2.883,14
deleteAllPostgresqls,0:10:27,0:10:27,3.238,15
deleteAllPostgresqls,0:10:34,0:10:34,3.672,16
deleteAllPostgresqls,0:10:42,0:10:42,3.226,17
deleteAllPostgresqls,0:10:49,0:10:49,2.83,18
deleteAllPostgresqls,0:11:6,0:11:6,39.532,19
deleteAllPostgresqls,0:11:21,0:11:21,2.95,21
deleteAllPostgresqls,0:11:14,0:11:14,4.047,20
deleteAllPostgresqls,0:11:35,0:11:35,3.242,23
deleteAllPostgresqls,0:11:57,0:11:57,42.374,24
deleteAllPostgresqls,0:12:5,0:12:5,5.073,25
deleteAllPostgresqls,0:11:28,0:11:28,3.145,22
deleteAllPostgresqls,0:12:26,0:12:26,3.266,28
deleteAllPostgresqls,0:12:11,0:12:11,3.259,26
deleteAllPostgresqls,0:12:33,0:12:33,3.265,29
deleteAllPostgresqls,0:12:52,0:12:52,40.277,30
deleteByIdJsons,23:53:31,23:53:31,30.965,1
deleteByIdJsons,23:53:36,23:53:36,27.886,3
deleteAllPostgresqls,0:12:18,0:12:18,3.352,27
deleteByIdJsons,23:53:41,23:53:41,29.134,5
deleteByIdJsons,23:53:33,23:53:33,35.255,2
deleteByIdJsons,23:54:7,23:54:7,31.073,7
deleteByIdJsons,23:53:39,23:53:39,44.398,4
deleteByIdJsons,23:54:2,23:54:3,31.134,6
deleteByIdJsons,23:54:11,23:54:11,30.826,9
deleteByIdJsons,23:54:9,23:54:9,29.677,8
deleteByIdJsons,23:54:17,23:54:17,30.166,10
deleteByIdJsons,23:54:23,23:54:23,30.511,12
deleteByIdJsons,23:54:29,23:54:29,29.703,13
deleteByIdJsons,23:54:21,23:54:21,29.526,11
deleteByIdJsons,23:54:37,23:54:37,28.348,15
deleteByIdJsons,23:54:40,23:54:40,27.922,16
deleteByIdJsons,23:54:50,23:54:50,29.304,19
deleteByIdJsons,23:54:32,23:54:32,28.655,14
deleteByIdJsons,23:54:48,23:54:48,29.788,18
deleteByIdJsons,23:54:45,23:54:45,32.729,17
deleteByIdJsons,23:54:54,23:54:54,29.961,20
deleteByIdJsons,23:55:3,23:55:3,29.770,23
deleteByIdJsons,23:54:56,23:54:56,31.282,21
deleteByIdJsons,23:55:5,23:55:5,29.522,24
deleteByIdJsons,23:55:0,23:55:0,30.130,22
deleteByIdJsons,23:55:10,23:55:10,33.030,26
deleteByIdJsons,23:55:13,23:55:13,29.291,27
deleteByIdJsons,23:55:7,23:55:7,31.837,25
deleteByIdJsons,23:55:20,23:55:20,34.243,29
deleteByIdJsons,23:55:16,23:55:16,29.723,28
deleteByIdPostgresqls,0:4:27,0:4:27,0.716,2
deleteByIdJsons,23:55:24,23:55:24,30.273,30
deleteByIdPostgresqls,0:4:29,0:4:29,0.806,3
deleteByIdPostgresqls,0:4:25,0:4:25,1.346,1
